Rank,Charity,EIN,Wallet Tag,AMAL Score,Trust,Verification Tier,Verification Pts,Data Quality,DQ Pts,Transparency,Transp Pts,Evidence,Evidence Grade,Grade Pts,Outcome Measurement,Outcome Pts,Theory of Change,ToC Pts,Effectiveness,Program Efficiency,Efficiency Pts,Cost Effectiveness,Cost Pts,Financial Health,Fin Health Pts,Fit,Counterfactual,Counter Pts,Cause Importance,Cause Imp Pts,Neglectedness,Neglect Pts,Risk Deduction
1,The Citizens Foundation USA,41-2046295,ZAKAT-ELIGIBLE,98,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,0
2,Sadagaat,47-2864379,ZAKAT-ELIGIBLE,98,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
3,MedGlobal,82-2517347,ZAKAT-ELIGIBLE,98,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,COMPREHENSIVE,10,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
4,ICNA Relief,04-3810161,ZAKAT-ELIGIBLE,97,25,HIGH,10,HIGH,8,PLATINUM,7,22,B,8,COMPREHENSIVE,10,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
5,Developments in Literacy,33-0843213,ZAKAT-ELIGIBLE,97,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,22,EXCEPTIONAL,10,EXCELLENT,10,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
6,SIUT,76-0656947,ZAKAT-ELIGIBLE,96,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,23,ABOVE_AVERAGE,8,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
7,Iqra Fund,45-2751655,ZAKAT-ELIGIBLE,93,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,22,EXCEPTIONAL,10,GOOD,8,COMFORTABLE,4,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,0
8,Transparent Hands USA,47-3564801,ZAKAT-ELIGIBLE,93,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,COMPREHENSIVE,10,DOCUMENTED,4,20,AVERAGE,5,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
9,Penny Appeal USA,47-5165837,ZAKAT-ELIGIBLE,93,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,20,AVERAGE,5,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
10,PALESTINE CHILDRENS RELIEF FUND,93-1057665,ZAKAT-ELIGIBLE,93,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
11,Indus Hospital,20-4751162,ZAKAT-ELIGIBLE,92,25,HIGH,10,HIGH,8,PLATINUM,7,21,B,8,STRONG,8,DOCUMENTED,4,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
12,"Baitulmaal, Inc.",20-0942434,ZAKAT-ELIGIBLE,90,25,HIGH,10,HIGH,8,PLATINUM,7,24,B,8,COMPREHENSIVE,10,DOCUMENTED,4,16,EXCEPTIONAL,10,BELOW_AVERAGE,2,COMFORTABLE,4,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
13,Mercy USA for Aid and Development,38-2846307,ZAKAT-ELIGIBLE,90,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,19,EXCEPTIONAL,10,AVERAGE,6,TIGHT,3,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
14,American Near East Refugee Aid (Anera),52-0882226,ZAKAT-ELIGIBLE,90,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,17,EXCEPTIONAL,10,BELOW_AVERAGE,2,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
15,Islamic Relief USA,95-4453134,ZAKAT-ELIGIBLE,90,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,15,ABOVE_AVERAGE,8,AVERAGE,5,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
16,Pure Hands,45-4810098,ZAKAT-ELIGIBLE,89,25,HIGH,10,HIGH,8,PLATINUM,7,18,C,6,STRONG,8,DOCUMENTED,4,23,EXCEPTIONAL,10,EXCELLENT,10,TIGHT,3,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
17,Emgage Foundation,26-1441032,SADAQAH-ELIGIBLE,88,25,HIGH,10,HIGH,8,PLATINUM,7,20,B,8,MODERATE,6,DOCUMENTED,4,22,EXCEPTIONAL,10,EXCELLENT,10,EXCESSIVE,2,21,MEDIUM,6,HIGH,9,MUSLIM_FOCUSED,6,0
18,World Central Kitchen,27-3521132,SADAQAH-ELIGIBLE,87,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,24,EXCEPTIONAL,10,EXCELLENT,10,COMFORTABLE,4,13,LOW,2,HIGH,9,MAINSTREAM,2,0
19,Save the Children Federation,06-0726487,SADAQAH-ELIGIBLE,86,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,23,ABOVE_AVERAGE,8,EXCELLENT,10,HEALTHY,5,13,LOW,2,HIGH,9,MAINSTREAM,2,0
20,CARE USA,13-1685039,SADAQAH-ELIGIBLE,86,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,13,LOW,2,HIGH,9,MAINSTREAM,2,0
21,Against Malaria Foundation,20-3069841,SADAQAH-ELIGIBLE,86,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,23,EXCEPTIONAL,10,EXCELLENT,10,TIGHT,3,13,LOW,2,HIGH,9,MAINSTREAM,2,0
22,Action Against Hunger USA,13-3327220,SADAQAH-ELIGIBLE,85,25,HIGH,10,HIGH,8,PLATINUM,7,23,C,6,COMPREHENSIVE,10,DOCUMENTED,4,24,EXCEPTIONAL,10,EXCELLENT,10,COMFORTABLE,4,13,LOW,2,HIGH,9,MAINSTREAM,2,0
23,charity: water,22-3936753,SADAQAH-ELIGIBLE,85,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,22,ABOVE_AVERAGE,8,EXCELLENT,10,COMFORTABLE,4,13,LOW,2,HIGH,9,MAINSTREAM,2,0
24,Obat Helpers,47-0946122,ZAKAT-ELIGIBLE,85,25,HIGH,10,HIGH,8,PLATINUM,7,23,C,6,COMPREHENSIVE,10,DOCUMENTED,4,17,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,HEALTHY,5,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,0
25,SAPA,83-3464851,ZAKAT-ELIGIBLE,85,25,HIGH,10,HIGH,8,PLATINUM,7,18,C,6,MODERATE,6,DOCUMENTED,4,17,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
26,Muslim Legal Fund of America,01-0548371,ZAKAT-ELIGIBLE,83,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,13,AVERAGE,5,BELOW_AVERAGE,3,HEALTHY,5,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,0
27,Helen Keller International,13-5562162,SADAQAH-ELIGIBLE,83,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,20,ABOVE_AVERAGE,8,EXCELLENT,10,EXCESSIVE,2,13,LOW,2,HIGH,9,MAINSTREAM,2,0
28,International Aid Charity,46-3973114,ZAKAT-ELIGIBLE,83,23,HIGH,10,HIGH,8,GOLD,5,12,D,4,BASIC,4,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
29,Oxfam America,23-7069110,SADAQAH-ELIGIBLE,82,25,HIGH,10,HIGH,8,PLATINUM,7,25,A,10,COMPREHENSIVE,10,DOCUMENTED,4,19,AVERAGE,5,EXCELLENT,10,COMFORTABLE,4,13,LOW,2,HIGH,9,MAINSTREAM,2,0
30,"GiveDirectly, Inc",27-1661997,SADAQAH-ELIGIBLE,82,25,HIGH,10,HIGH,8,PLATINUM,7,24,A,10,STRONG,8,DOCUMENTED,4,20,EXCEPTIONAL,10,AVERAGE,6,COMFORTABLE,4,13,LOW,2,HIGH,9,MAINSTREAM,2,0
31,CAIR FOUNDATION INC,77-0646756,ZAKAT-ELIGIBLE,82,25,HIGH,10,HIGH,8,PLATINUM,7,25,A,10,STRONG,8,DOCUMENTED,4,12,AVERAGE,5,BELOW_AVERAGE,3,COMFORTABLE,4,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,0
32,Fight Colorectal Cancer,20-2622550,SADAQAH-ELIGIBLE,81,25,HIGH,10,HIGH,8,PLATINUM,7,23,C,6,COMPREHENSIVE,10,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,15,LOW,2,HIGH,9,NICHE,4,0
33,United Muslim Relief,27-3175543,ZAKAT-ELIGIBLE,81,23,HIGH,10,HIGH,8,GOLD,5,14,D,4,BASIC,4,DOCUMENTED,4,23,EXCEPTIONAL,10,EXCELLENT,10,TIGHT,3,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-4
34,Yaqeen Institute for Islamic Research,81-2822877,ZAKAT-ELIGIBLE,81,25,HIGH,10,HIGH,8,PLATINUM,7,20,C,6,STRONG,8,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,0
35,Direct Relief,95-1831116,SADAQAH-ELIGIBLE,81,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,COMPREHENSIVE,10,DOCUMENTED,4,20,EXCEPTIONAL,10,AVERAGE,6,COMFORTABLE,4,13,LOW,2,HIGH,9,MAINSTREAM,2,0
36,SYRIAN AMERICAN MEDICAL SOCIETY FOUNDATION,16-1717058,SADAQAH-ELIGIBLE,79,25,HIGH,10,HIGH,8,PLATINUM,7,21,B,8,STRONG,8,IMPLICIT,2,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,13,LOW,2,HIGH,9,MAINSTREAM,2,-1
37,Muslim Aid America,46-2504422,SADAQAH-ELIGIBLE,79,22,HIGH,10,MODERATE,5,PLATINUM,7,16,C,6,STRONG,8,IMPLICIT,2,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,21,MEDIUM,6,HIGH,9,MUSLIM_FOCUSED,6,-1
38,Second Harvest Food Bank,94-2614101,SADAQAH-ELIGIBLE,79,25,HIGH,10,HIGH,8,PLATINUM,7,25,A,10,COMPREHENSIVE,10,DOCUMENTED,4,16,EXCEPTIONAL,10,BELOW_AVERAGE,2,COMFORTABLE,4,13,LOW,2,HIGH,9,MAINSTREAM,2,0
39,Doctors Without Borders,13-3433452,SADAQAH-ELIGIBLE,78,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,COMPREHENSIVE,10,IMPLICIT,2,18,ABOVE_AVERAGE,8,AVERAGE,5,HEALTHY,5,13,LOW,2,HIGH,9,MAINSTREAM,2,-1
40,Tayba Foundation,26-3342933,ZAKAT-ELIGIBLE,77,22,MODERATE,7,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,14,ABOVE_AVERAGE,8,BELOW_AVERAGE,2,COMFORTABLE,4,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,0
41,American Red CrossHQ,53-0196605,SADAQAH-ELIGIBLE,77,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,14,EXCEPTIONAL,10,BELOW_AVERAGE,2,EXCESSIVE,2,13,LOW,2,HIGH,9,MAINSTREAM,2,0
42,Hidaya Foundation,77-0502583,ZAKAT-ELIGIBLE,77,15,HIGH,10,MODERATE,5,NONE,0,14,D,4,BASIC,4,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
43,Heal Palestine,88-2454707,ZAKAT-ELIGIBLE,77,22,HIGH,10,MODERATE,5,PLATINUM,7,16,C,6,MODERATE,6,DOCUMENTED,4,14,EXCEPTIONAL,10,BELOW_AVERAGE,2,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
44,Cancer Research Institute,13-1837442,SADAQAH-ELIGIBLE,76,25,HIGH,10,HIGH,8,PLATINUM,7,23,C,6,COMPREHENSIVE,10,DOCUMENTED,4,15,ABOVE_AVERAGE,8,AVERAGE,5,EXCESSIVE,2,13,LOW,2,HIGH,9,MAINSTREAM,2,0
45,Zakat Foundation of America,36-4476244,ZAKAT-ELIGIBLE,76,23,HIGH,10,HIGH,8,GOLD,5,16,C,6,BASIC,4,DOCUMENTED,4,14,EXCEPTIONAL,10,BELOW_AVERAGE,2,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
46,Rahima Foundation,77-0442850,ZAKAT-ELIGIBLE,76,23,HIGH,10,HIGH,8,GOLD,5,13,D,4,BASIC,4,DOCUMENTED,4,22,EXCEPTIONAL,10,EXCELLENT,10,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-7
47,Human Appeal USA,87-2410117,ZAKAT-ELIGIBLE,76,22,HIGH,10,HIGH,8,SILVER,4,16,C,6,BASIC,4,DOCUMENTED,4,17,BELOW_AVERAGE,3,EXCELLENT,10,COMFORTABLE,4,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-4
48,UNICEF USA,13-1760110,SADAQAH-ELIGIBLE,75,25,HIGH,10,HIGH,8,PLATINUM,7,17,B,8,STRONG,8,NONE,0,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,13,LOW,2,HIGH,9,MAINSTREAM,2,-1
49,Islamic Scholarship Fund (ISF),20-8540050,ZAKAT-ELIGIBLE,75,25,HIGH,10,HIGH,8,PLATINUM,7,23,C,6,COMPREHENSIVE,10,DOCUMENTED,4,9,AVERAGE,5,BELOW_AVERAGE,2,EXCESSIVE,2,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,-5
50,Union of Concerned Scientists,04-2535767,SADAQAH-ELIGIBLE,74,25,HIGH,10,HIGH,8,PLATINUM,7,23,C,6,COMPREHENSIVE,10,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,8,LOW,2,MEDIUM,4,MAINSTREAM,2,0
51,Support Life Foundation,47-1675693,SADAQAH-ELIGIBLE,74,22,MODERATE,7,HIGH,8,PLATINUM,7,21,B,8,STRONG,8,DOCUMENTED,4,16,EXCEPTIONAL,10,BELOW_AVERAGE,2,COMFORTABLE,4,15,LOW,2,HIGH,9,NICHE,4,0
52,Muslim Community Network,75-3163555,ZAKAT-ELIGIBLE,74,25,HIGH,10,HIGH,8,PLATINUM,7,16,C,6,MODERATE,6,DOCUMENTED,4,12,AVERAGE,5,BELOW_AVERAGE,3,COMFORTABLE,4,21,HIGH,10,MEDIUM,5,MUSLIM_FOCUSED,6,0
53,Rainforest Alliance,13-3377893,SADAQAH-ELIGIBLE,73,25,HIGH,10,HIGH,8,PLATINUM,7,23,C,6,COMPREHENSIVE,10,DOCUMENTED,4,17,ABOVE_AVERAGE,8,AVERAGE,5,COMFORTABLE,4,8,LOW,2,MEDIUM,4,MAINSTREAM,2,0
54,International Rescue Committee,13-5660870,SADAQAH-ELIGIBLE,73,25,HIGH,10,HIGH,8,PLATINUM,7,18,C,6,MODERATE,6,DOCUMENTED,4,17,EXCEPTIONAL,10,BELOW_AVERAGE,2,HEALTHY,5,13,LOW,2,HIGH,9,MAINSTREAM,2,0
55,Ghamidi Center of Islamic Learning,46-5099190,ZAKAT-ELIGIBLE,73,22,MODERATE,7,HIGH,8,PLATINUM,7,17,F,2,COMPREHENSIVE,10,DOCUMENTED,4,14,ABOVE_AVERAGE,8,BELOW_AVERAGE,2,COMFORTABLE,4,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,0
56,COUNCIL ON AMERICAN-ISLAMIC RELATIONS CALIFORNIA,77-0411194,SADAQAH-ELIGIBLE,73,22,HIGH,10,MODERATE,5,PLATINUM,7,17,F,2,COMPREHENSIVE,10,DOCUMENTED,4,15,ABOVE_AVERAGE,8,AVERAGE,5,EXCESSIVE,2,19,MEDIUM,6,HIGH,7,MUSLIM_FOCUSED,6,0
57,Texas Muslim Womens Foundation Inc,20-3060929,ZAKAT-ELIGIBLE,72,18,HIGH,10,HIGH,8,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
58,Helping Hand for Relief and Development,31-1628040,ZAKAT-ELIGIBLE,71,18,HIGH,10,HIGH,8,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,20,EXCEPTIONAL,10,AVERAGE,6,COMFORTABLE,4,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
59,KinderUSA,75-2999028,SADAQAH-ELIGIBLE,71,25,HIGH,10,HIGH,8,PLATINUM,7,12,C,6,MODERATE,6,NONE,0,20,EXCEPTIONAL,10,AVERAGE,6,COMFORTABLE,4,15,LOW,2,HIGH,9,NICHE,4,-1
60,Unity Productions Foundation,77-0519274,SADAQAH-ELIGIBLE,71,23,HIGH,10,HIGH,8,GOLD,5,16,C,6,BASIC,4,DOCUMENTED,4,20,ABOVE_AVERAGE,8,EXCELLENT,10,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-2
61,"Human Rights Watch, Inc.",13-2875808,SADAQAH-ELIGIBLE,70,25,HIGH,10,HIGH,8,PLATINUM,7,22,C,6,COMPREHENSIVE,10,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,13,LOW,2,HIGH,9,MAINSTREAM,2,0
62,Imran Khan Cancer Appeal USA,13-3626299,ZAKAT-ELIGIBLE,70,18,HIGH,10,HIGH,8,NONE,0,14,C,6,WEAK,2,DOCUMENTED,4,20,EXCEPTIONAL,10,AVERAGE,6,COMFORTABLE,4,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-7
63,ACLU Foundation,13-6213516,SADAQAH-ELIGIBLE,69,25,HIGH,10,HIGH,8,PLATINUM,7,21,C,6,STRONG,8,DOCUMENTED,4,15,ABOVE_AVERAGE,8,AVERAGE,5,EXCESSIVE,2,8,LOW,2,MEDIUM,4,MAINSTREAM,2,0
64,INSTITUTE FOR SOCIAL POLICY AND UNDERSTANDING,38-3633581,SADAQAH-ELIGIBLE,68,25,HIGH,10,HIGH,8,PLATINUM,7,19,C,6,COMPREHENSIVE,10,IMPLICIT,2,9,AVERAGE,5,BELOW_AVERAGE,2,EXCESSIVE,2,16,MEDIUM,6,MEDIUM,4,MUSLIM_FOCUSED,6,-1
65,Southern Poverty Law Center,63-0598743,SADAQAH-ELIGIBLE,68,25,HIGH,10,HIGH,8,PLATINUM,7,25,A,10,STRONG,8,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,8,LOW,2,MEDIUM,4,MAINSTREAM,2,0
66,Sierra Club Foundation,94-6069890,SADAQAH-ELIGIBLE,68,22,HIGH,10,MODERATE,5,PLATINUM,7,15,F,2,STRONG,8,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,13,LOW,2,HIGH,9,MAINSTREAM,2,0
67,Nur Islamic School of Louisville,61-1347154,SADAQAH-ELIGIBLE,66,17,HIGH,10,MODERATE,5,BRONZE,2,14,C,6,WEAK,2,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,19,MEDIUM,6,HIGH,7,MUSLIM_FOCUSED,6,-2
68,BASMAH,82-1670588,ZAKAT-ELIGIBLE,66,22,HIGH,10,MODERATE,5,PLATINUM,7,21,B,8,STRONG,8,DOCUMENTED,4,5,UNKNOWN,0,BELOW_AVERAGE,2,TIGHT,3,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,-2
69,MCA,31-1267559,ZAKAT-ELIGIBLE,64,22,MODERATE,7,HIGH,8,PLATINUM,7,18,C,6,STRONG,8,IMPLICIT,2,5,UNKNOWN,0,BELOW_AVERAGE,2,TIGHT,3,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,-1
70,IRUSA Waqf,47-1666091,ZAKAT-ELIGIBLE,64,5,NONE,0,MODERATE,5,NONE,0,16,C,6,BASIC,4,DOCUMENTED,4,20,ABOVE_AVERAGE,8,EXCELLENT,10,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
71,Habitat for Humanity International,91-1914868,SADAQAH-ELIGIBLE,64,23,HIGH,10,HIGH,8,GOLD,5,14,D,4,BASIC,4,DOCUMENTED,4,20,ABOVE_AVERAGE,8,EXCELLENT,10,EXCESSIVE,2,9,LOW,2,MEDIUM,5,MAINSTREAM,2,-2
72,Dream.Org,26-1140201,SADAQAH-ELIGIBLE,63,25,HIGH,10,HIGH,8,PLATINUM,7,21,C,6,STRONG,8,DOCUMENTED,4,7,UNKNOWN,0,BELOW_AVERAGE,2,HEALTHY,5,10,LOW,2,MEDIUM,4,NICHE,4,0
