Rank,Charity,EIN,Wallet Tag,AMAL Score,Trust,Verification Tier,Verification Pts,Data Quality,DQ Pts,Transparency,Transp Pts,Evidence,Evidence Grade,Grade Pts,Outcome Measurement,Outcome Pts,Theory of Change,ToC Pts,Effectiveness,Program Efficiency,Efficiency Pts,Cost Effectiveness,Cost Pts,Financial Health,Fin Health Pts,Fit,Counterfactual,Counter Pts,Cause Importance,Cause Imp Pts,Neglectedness,Neglect Pts,Risk Deduction
73,ZAYTUNA COLLEGE,33-0720978,ZAKAT-ELIGIBLE,63,23,HIGH,10,HIGH,8,GOLD,5,14,C,6,WEAK,2,DOCUMENTED,4,7,BELOW_AVERAGE,3,BELOW_AVERAGE,2,EXCESSIVE,2,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,-4
74,Feeding America,36-3673599,SADAQAH-ELIGIBLE,62,18,HIGH,10,HIGH,8,NONE,0,16,C,6,BASIC,4,DOCUMENTED,4,17,EXCEPTIONAL,10,BELOW_AVERAGE,2,HEALTHY,5,13,LOW,2,HIGH,9,MAINSTREAM,2,-2
75,Chicago Community Bond Fund,47-5015710,SADAQAH-ELIGIBLE,62,23,HIGH,10,HIGH,8,GOLD,5,8,F,2,WEAK,2,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,15,MEDIUM,6,MEDIUM,5,NICHE,4,-2
76,Islamic Services Foundation,75-2352043,ZAKAT-ELIGIBLE,61,15,HIGH,10,MODERATE,5,NONE,0,16,C,6,BASIC,4,DOCUMENTED,4,14,EXCEPTIONAL,10,BELOW_AVERAGE,2,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-2
77,The Intercept,92-1198452,SADAQAH-ELIGIBLE,61,25,HIGH,10,HIGH,8,PLATINUM,7,18,C,6,MODERATE,6,DOCUMENTED,4,12,AVERAGE,5,BELOW_AVERAGE,3,COMFORTABLE,4,6,LOW,2,LOW,2,MAINSTREAM,2,0
78,MAS Boston Society,20-1799252,ZAKAT-ELIGIBLE,60,15,HIGH,10,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-2
79,350.org,26-1150699,SADAQAH-ELIGIBLE,60,23,HIGH,10,HIGH,8,GOLD,5,14,C,6,WEAK,2,DOCUMENTED,4,17,ABOVE_AVERAGE,8,AVERAGE,5,COMFORTABLE,4,8,LOW,2,MEDIUM,4,MAINSTREAM,2,-2
80,Project South,58-1956686,SADAQAH-ELIGIBLE,60,20,HIGH,10,HIGH,8,BRONZE,2,16,A,10,WEAK,2,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,8,LOW,2,MEDIUM,4,MAINSTREAM,2,-2
81,Qalam Education Fund,86-1226156,ZAKAT-ELIGIBLE,60,15,HIGH,10,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,14,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,EXCESSIVE,2,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,-2
82,Pillars Fund,81-0983087,SADAQAH-ELIGIBLE,59,20,HIGH,10,HIGH,8,BRONZE,2,10,F,2,WEAK,2,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,21,MEDIUM,6,HIGH,9,MUSLIM_FOCUSED,6,-2
83,Al-Arqam Islamic School,94-3311132,SADAQAH-ELIGIBLE,59,15,HIGH,10,MODERATE,5,NONE,0,8,F,2,WEAK,2,IMPLICIT,2,20,EXCEPTIONAL,10,AVERAGE,6,COMFORTABLE,4,19,MEDIUM,6,HIGH,7,MUSLIM_FOCUSED,6,-3
84,Heart Women & Girls,27-3625796,ZAKAT-ELIGIBLE,58,22,HIGH,10,HIGH,8,SILVER,4,13,C,6,WEAK,2,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,-7
85,Inner-City Muslim Action Network,36-4167433,ZAKAT-ELIGIBLE,58,15,HIGH,10,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,12,AVERAGE,5,BELOW_AVERAGE,3,COMFORTABLE,4,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
86,The Carter Center,58-1454716,SADAQAH-ELIGIBLE,58,15,HIGH,10,MODERATE,5,NONE,0,12,D,4,BASIC,4,DOCUMENTED,4,20,ABOVE_AVERAGE,8,EXCELLENT,10,EXCESSIVE,2,13,LOW,2,HIGH,9,MAINSTREAM,2,-2
87,Equal Justice Initiative,63-1135091,SADAQAH-ELIGIBLE,58,23,HIGH,10,HIGH,8,GOLD,5,12,C,6,WEAK,2,IMPLICIT,2,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,8,LOW,2,MEDIUM,4,MAINSTREAM,2,-3
88,Muslim American Society of Greater LA,81-3745284,ZAKAT-ELIGIBLE,58,5,NONE,0,MODERATE,5,NONE,0,14,D,4,BASIC,4,DOCUMENTED,4,23,ABOVE_AVERAGE,8,EXCELLENT,10,HEALTHY,5,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-2
89,The Mecca Center,84-5191730,ZAKAT-ELIGIBLE,58,7,NONE,0,MODERATE,5,BRONZE,2,10,F,2,WEAK,2,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
90,Muslim Public Affairs Council Foundation,95-4675391,ZAKAT-ELIGIBLE,58,17,HIGH,10,MODERATE,5,BRONZE,2,18,A,10,WEAK,2,DOCUMENTED,4,7,BELOW_AVERAGE,3,BELOW_AVERAGE,2,EXCESSIVE,2,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,-4
91,Bayan Islamic Graduate School,46-2431099,SADAQAH-ELIGIBLE,57,19,MODERATE,7,HIGH,8,SILVER,4,14,C,6,BASIC,4,DOCUMENTED,4,9,BELOW_AVERAGE,3,BELOW_AVERAGE,2,COMFORTABLE,4,19,MEDIUM,6,HIGH,7,MUSLIM_FOCUSED,6,-4
92,Muhsen,47-3187591,SADAQAH-ELIGIBLE,57,22,MODERATE,7,HIGH,8,PLATINUM,7,16,C,6,MODERATE,6,IMPLICIT,2,7,BELOW_AVERAGE,3,BELOW_AVERAGE,2,EXCESSIVE,2,15,LOW,2,HIGH,9,NICHE,4,-3
93,Earthjustice,94-1730465,SADAQAH-ELIGIBLE,57,23,HIGH,10,HIGH,8,GOLD,5,16,C,6,BASIC,4,DOCUMENTED,4,12,ABOVE_AVERAGE,8,BELOW_AVERAGE,2,EXCESSIVE,2,8,LOW,2,MEDIUM,4,MAINSTREAM,2,-2
94,Al-Furqaan Foundation,20-0310701,ZAKAT-ELIGIBLE,56,15,HIGH,10,MODERATE,5,NONE,0,8,F,2,WEAK,2,IMPLICIT,2,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-3
95,Khalil Center,47-1313957,ZAKAT-ELIGIBLE,56,5,NONE,0,MODERATE,5,NONE,0,16,C,6,BASIC,4,DOCUMENTED,4,12,AVERAGE,5,BELOW_AVERAGE,2,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
96,The Hassan Foundation,56-2639095,ZAKAT-ELIGIBLE,56,5,NONE,0,MODERATE,5,NONE,0,14,C,6,BASIC,4,DOCUMENTED,4,14,EXCEPTIONAL,10,BELOW_AVERAGE,2,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
97,Muslim Community Center Chicago,23-7060038,ZAKAT-ELIGIBLE,55,15,HIGH,10,MODERATE,5,NONE,0,7,F,2,WEAK,2,IMPLICIT,2,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-3
98,Muslim Hands USA,27-4155655,ZAKAT-ELIGIBLE,55,19,MODERATE,7,HIGH,8,SILVER,4,13,D,4,BASIC,4,DOCUMENTED,4,12,POOR,0,EXCELLENT,10,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-7
99,The Islamic Association of Arabi,72-1128279,SADAQAH-ELIGIBLE,55,15,HIGH,10,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-2
100,Islamic Center of Irvine,33-0992506,SADAQAH-ELIGIBLE,54,17,HIGH,10,MODERATE,5,BRONZE,2,8,D,4,WEAK,2,IMPLICIT,2,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-3
101,Givelight Foundation,56-2500794,SADAQAH-ELIGIBLE,54,15,HIGH,10,MODERATE,5,NONE,0,12,D,4,BASIC,4,DOCUMENTED,4,14,EXCEPTIONAL,10,BELOW_AVERAGE,2,EXCESSIVE,2,15,LOW,2,HIGH,9,NICHE,4,-2
102,Islamic Educational Foundation,22-3382037,SADAQAH-ELIGIBLE,53,17,HIGH,10,MODERATE,5,BRONZE,2,14,C,6,WEAK,2,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-2
103,Najam Institute Foundation,83-4231488,SADAQAH-ELIGIBLE,53,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,21,MEDIUM,6,HIGH,9,MUSLIM_FOCUSED,6,-2
104,Dar-us-Sakina,85-3996086,ZAKAT-ELIGIBLE,53,15,MODERATE,7,HIGH,8,NONE,0,8,F,2,WEAK,2,IMPLICIT,2,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,-3
105,Humaniti,92-3079413,ZAKAT-ELIGIBLE,52,5,NONE,0,MODERATE,5,NONE,0,12,D,4,BASIC,4,DOCUMENTED,4,12,EXCEPTIONAL,10,BELOW_AVERAGE,2,UNKNOWN,0,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
106,The Family & Youth Institute,20-4097808,ZAKAT-ELIGIBLE,50,5,NONE,0,MODERATE,5,NONE,0,13,C,6,WEAK,2,DOCUMENTED,4,14,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,EXCESSIVE,2,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,-2
107,Innocence Project,32-0077563,SADAQAH-ELIGIBLE,50,18,HIGH,10,HIGH,8,NONE,0,16,C,6,BASIC,4,DOCUMENTED,4,9,AVERAGE,5,BELOW_AVERAGE,2,EXCESSIVE,2,9,LOW,2,MEDIUM,5,MAINSTREAM,2,-2
108,ICNAB,81-2169685,SADAQAH-ELIGIBLE,50,15,HIGH,10,MODERATE,5,NONE,0,4,F,2,WEAK,2,NONE,0,20,EXCEPTIONAL,10,AVERAGE,6,COMFORTABLE,4,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-3
109,North-American Islamic Shelter for the Abused,26-0906163,ZAKAT-ELIGIBLE,49,5,NONE,0,MODERATE,5,NONE,0,14,C,6,WEAK,2,DOCUMENTED,4,14,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-2
110,Muslim Association of Puget Sound,20-4423661,SADAQAH-ELIGIBLE,48,15,HIGH,10,MODERATE,5,NONE,0,10,D,4,BASIC,4,IMPLICIT,2,12,ABOVE_AVERAGE,8,BELOW_AVERAGE,2,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-3
111,US Council of Muslim Organizations,46-2811888,SADAQAH-ELIGIBLE,48,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,16,MEDIUM,6,MEDIUM,4,MUSLIM_FOCUSED,6,-2
112,The Center for Islamic Teachings and Community Development,45-4227947,SADAQAH-ELIGIBLE,47,5,NONE,0,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,16,MEDIUM,6,MEDIUM,4,MUSLIM_FOCUSED,6,-2
113,Muslim Academy of Greater Orlando,56-2620244,SADAQAH-ELIGIBLE,47,15,HIGH,10,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-2
114,ICNA Council for Social Justice,80-0508709,SADAQAH-ELIGIBLE,47,9,BASIC,4,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,16,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,COMFORTABLE,4,16,MEDIUM,6,MEDIUM,4,MUSLIM_FOCUSED,6,-2
115,Friends of KDSP,88-2980325,SADAQAH-ELIGIBLE,47,5,NONE,0,MODERATE,5,NONE,0,14,D,4,BASIC,4,DOCUMENTED,4,13,BELOW_AVERAGE,3,GOOD,8,EXCESSIVE,2,19,MEDIUM,6,HIGH,9,NICHE,4,-4
116,Natural Resources Defense Council,13-2654926,SADAQAH-ELIGIBLE,46,15,HIGH,10,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,15,ABOVE_AVERAGE,8,AVERAGE,5,EXCESSIVE,2,8,LOW,2,MEDIUM,4,MAINSTREAM,2,-2
117,Dawat-E-Islami USA,46-4451777,ZAKAT-ELIGIBLE,46,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,IMPLICIT,2,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-3
118,Muslim Wellness Foundation,47-2533025,SADAQAH-ELIGIBLE,46,5,NONE,0,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,19,EXCEPTIONAL,10,AVERAGE,6,TIGHT,3,16,MEDIUM,6,MEDIUM,4,MUSLIM_FOCUSED,6,-4
119,Al Ummah Community Center,83-2403741,SADAQAH-ELIGIBLE,46,5,NONE,0,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,16,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,COMFORTABLE,4,17,MEDIUM,6,MEDIUM,5,MUSLIM_FOCUSED,6,-2
120,Maristan,87-1035868,ZAKAT-ELIGIBLE,46,5,NONE,0,MODERATE,5,NONE,0,14,C,6,WEAK,2,DOCUMENTED,4,4,UNKNOWN,0,BELOW_AVERAGE,2,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
121,Islamic Foundation of Nevada,88-0405956,SADAQAH-ELIGIBLE,46,5,NONE,0,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,14,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,EXCESSIVE,2,19,MEDIUM,6,HIGH,7,MUSLIM_FOCUSED,6,-2
122,Darul Qasim,36-4398970,ZAKAT-ELIGIBLE,45,5,NONE,0,MODERATE,5,NONE,0,14,C,6,WEAK,2,DOCUMENTED,4,7,BELOW_AVERAGE,3,BELOW_AVERAGE,2,EXCESSIVE,2,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,-4
123,Poligon Education Fund,81-3451645,ZAKAT-ELIGIBLE,45,5,NONE,0,MODERATE,5,NONE,0,14,C,6,BASIC,4,IMPLICIT,2,13,UNKNOWN,0,EXCELLENT,10,TIGHT,3,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-5
124,Muslim Advocates,30-0298794,ZAKAT-ELIGIBLE,44,5,NONE,0,MODERATE,5,NONE,0,14,C,6,WEAK,2,DOCUMENTED,4,9,BELOW_AVERAGE,3,BELOW_AVERAGE,2,COMFORTABLE,4,20,HIGH,10,MEDIUM,4,MUSLIM_FOCUSED,6,-4
125,Islamic Society of Northwest Suburbs of Chicago,36-3200165,ZAKAT-ELIGIBLE,44,5,NONE,0,MODERATE,5,NONE,0,6,F,2,WEAK,2,IMPLICIT,2,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-3
126,International Institute of Islamic Thought,23-2202414,SADAQAH-ELIGIBLE,43,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,IMPLICIT,2,19,EXCEPTIONAL,10,AVERAGE,6,TIGHT,3,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-3
127,Link Outside,83-1171525,ZAKAT-ELIGIBLE,43,5,NONE,0,MODERATE,5,NONE,0,17,B,8,BASIC,4,DOCUMENTED,4,2,UNKNOWN,0,UNKNOWN,0,EXCESSIVE,2,21,HIGH,10,MEDIUM,5,MUSLIM_FOCUSED,6,-2
128,Ar-Rahman Learning Center,85-3547280,SADAQAH-ELIGIBLE,43,15,HIGH,10,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,14,ABOVE_AVERAGE,8,BELOW_AVERAGE,4,EXCESSIVE,2,8,LOW,2,LOW,2,NICHE,4,-2
129,Afghan Refugee Relief,93-1556038,SADAQAH-ELIGIBLE,42,5,NONE,0,MODERATE,5,NONE,0,11,D,4,BASIC,4,IMPLICIT,2,15,POOR,0,EXCELLENT,10,HEALTHY,5,19,MEDIUM,6,HIGH,9,NICHE,4,-8
130,Al Jazari Institute,45-5134951,SADAQAH-ELIGIBLE,41,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,13,AVERAGE,5,BELOW_AVERAGE,3,HEALTHY,5,17,MEDIUM,6,MEDIUM,5,MUSLIM_FOCUSED,6,-2
131,ICNA Chicago Illinois Organization,47-3342673,ZAKAT-ELIGIBLE,40,5,NONE,0,MODERATE,5,NONE,0,9,F,2,WEAK,2,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-2
132,Darul Huda Corporation,54-1674126,SADAQAH-ELIGIBLE,40,5,NONE,0,MODERATE,5,NONE,0,6,F,2,WEAK,2,IMPLICIT,2,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-3
133,MCC East Bay,20-8085421,ZAKAT-ELIGIBLE,38,5,NONE,0,MODERATE,5,NONE,0,11,D,4,BASIC,4,IMPLICIT,2,0,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-3
134,Islamic Society of Central Jersey,22-2086228,ZAKAT-ELIGIBLE,38,7,NONE,0,MODERATE,5,BRONZE,2,16,C,6,BASIC,4,DOCUMENTED,4,4,POOR,0,BELOW_AVERAGE,2,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-7
135,Muslim American Youth Foundation,81-3135852,SADAQAH-ELIGIBLE,37,5,NONE,0,MODERATE,5,NONE,0,10,F,2,WEAK,2,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-2
136,Yateem Foundation,99-3373484,ZAKAT-ELIGIBLE,37,2,NONE,0,LOW,2,NONE,0,12,C,6,WEAK,2,DOCUMENTED,4,0,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
137,American Imam Academy,82-1150290,SADAQAH-ELIGIBLE,35,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-2
138,ING,77-0412815,SADAQAH-ELIGIBLE,33,5,NONE,0,MODERATE,5,NONE,0,14,C,6,WEAK,2,DOCUMENTED,4,7,POOR,0,BELOW_AVERAGE,2,HEALTHY,5,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-7
139,National Association of Muslim Charitable Clinics,93-2136609,SADAQAH-ELIGIBLE,33,2,NONE,0,LOW,2,NONE,0,12,D,4,BASIC,4,DOCUMENTED,4,0,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,21,MEDIUM,6,HIGH,9,MUSLIM_FOCUSED,6,-2
140,Muslim Foundation,22-2413703,SADAQAH-ELIGIBLE,32,5,NONE,0,MODERATE,5,NONE,0,6,F,2,WEAK,2,IMPLICIT,2,10,AVERAGE,5,BELOW_AVERAGE,3,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-3
141,National Association of Muslim Lawyers,52-2283398,SADAQAH-ELIGIBLE,30,5,NONE,0,MODERATE,5,NONE,0,6,F,2,WEAK,2,IMPLICIT,2,5,UNKNOWN,0,UNKNOWN,0,HEALTHY,5,17,MEDIUM,6,MEDIUM,5,MUSLIM_FOCUSED,6,-3
142,Ta'leef Collective,72-1528691,ZAKAT-ELIGIBLE,30,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,IMPLICIT,2,2,POOR,0,BELOW_AVERAGE,2,UNKNOWN,0,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,-8
143,Muslim Bar Association of New York,20-5509305,SADAQAH-ELIGIBLE,29,5,NONE,0,MODERATE,5,NONE,0,6,F,2,WEAK,2,IMPLICIT,2,4,UNKNOWN,0,UNKNOWN,0,COMFORTABLE,4,17,MEDIUM,6,MEDIUM,5,MUSLIM_FOCUSED,6,-3
144,Islamic Society of Greater Houston,23-7065716,ZAKAT-ELIGIBLE,29,11,BASIC,4,MODERATE,5,BRONZE,2,8,F,2,WEAK,2,IMPLICIT,2,0,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-8
145,Sachse Muslim Society,47-1365228,ZAKAT-ELIGIBLE,29,5,NONE,0,MODERATE,5,NONE,0,9,F,2,WEAK,2,DOCUMENTED,4,4,POOR,0,BELOW_AVERAGE,2,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-7
146,Islamic Center of Southern California,95-3502914,ZAKAT-ELIGIBLE,27,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,IMPLICIT,2,4,POOR,0,BELOW_AVERAGE,2,EXCESSIVE,2,18,HIGH,10,LOW,2,MUSLIM_FOCUSED,6,-8
147,Institute for Understanding Anti-Palestinian Racism,99-3032347,SADAQAH-ELIGIBLE,27,5,NONE,0,MODERATE,5,NONE,0,14,C,6,WEAK,2,DOCUMENTED,4,0,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,10,LOW,2,MEDIUM,4,NICHE,4,-2
148,Islamic Oasis,26-3531888,SADAQAH-ELIGIBLE,24,5,NONE,0,MODERATE,5,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,4,POOR,0,BELOW_AVERAGE,2,EXCESSIVE,2,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-7
149,The Islamic Society of Southern California,83-0668931,SADAQAH-ELIGIBLE,22,2,NONE,0,LOW,2,NONE,0,8,F,2,WEAK,2,DOCUMENTED,4,0,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,14,MEDIUM,6,LOW,2,MUSLIM_FOCUSED,6,-2
